timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2340000,488.037,0.0,95598.7,1.13587
2344000,488.079,0.0,95598.3,1.13587
2348000,487.929,0.0,95600.0,1.13589
2352000,488.051,0.0,95598.6,1.13587
2356000,488.211,0.0,95596.8,1.13585
2360000,488.089,0.0,95598.2,1.13586
2364000,488.051,0.0,95598.6,1.13587
2372000,488.201,0.0,95596.9,1.13585
2376000,488.23,0.0,95596.6,1.13585
2380000,488.305,0.0,95595.7,1.13584
2384000,487.967,0.0,95599.6,1.13588
2392000,488.187,0.0,95597.0,1.13585
2396000,487.929,0.0,95600.0,1.13589
2404000,488.131,0.0,95597.7,1.13586
2408000,488.032,0.0,95598.8,1.13587
2412000,487.99,0.0,95599.3,1.13588
2416000,488.122,0.0,95597.8,1.13586
2424000,488.286,0.0,95595.9,1.13584
2428000,488.122,0.0,95597.8,1.13586
2432000,488.093,0.0,95598.1,1.13586
2436000,487.943,0.0,95599.8,1.13588
2440000,488.07,0.0,95598.4,1.13587
2444000,488.112,0.0,95597.9,1.13586
2452000,488.075,0.0,95598.3,1.13587
2460000,488.272,0.0,95596.1,1.13584
2464000,488.169,0.0,95597.3,1.13585
2468000,488.079,0.0,95598.3,1.13587
2472000,488.201,0.0,95596.9,1.13585
2480000,487.967,0.0,95599.6,1.13588
2484000,488.046,0.0,95598.6,1.13587
2492000,488.093,0.0,95598.1,1.13586
2496000,488.215,0.0,95596.8,1.13585
2500000,487.995,0.0,95599.3,1.13588
2504000,488.098,0.0,95598.1,1.13586
2508000,488.201,0.0,95596.9,1.13585
2516000,487.995,0.0,95599.2,1.13588
2520000,488.136,0.0,95597.6,1.13586
2524000,488.056,0.0,95598.6,1.13587
2532000,487.92,0.0,95600.1,1.13589
2536000,488.211,0.0,95596.8,1.13585
2540000,488.145,0.0,95597.5,1.13586
2544000,488.206,0.0,95596.8,1.13585
2548000,488.018,0.0,95599.0,1.13587
2552000,487.948,0.0,95599.8,1.13588
2560000,488.084,0.0,95598.2,1.13586
2568000,488.281,0.0,95596.0,1.13584
2572000,487.948,0.0,95599.8,1.13588
2576000,488.07,0.0,95598.4,1.13587
2580000,487.995,0.0,95599.2,1.13588
2588000,488.0,0.0,95599.2,1.13588
2592000,487.967,0.0,95599.6,1.13588
2596000,487.99,0.0,95599.3,1.13588
2600000,487.948,0.0,95599.8,1.13588
2604000,488.061,0.0,95598.5,1.13587
2608000,488.3,0.0,95595.7,1.13584
2612000,488.117,0.0,95597.9,1.13586
2616000,487.845,0.0,95601.0,1.1359
2620000,487.962,0.0,95599.6,1.13588
2628000,488.178,0.0,95597.2,1.13585
2632000,487.981,0.0,95599.4,1.13588
2636000,488.075,0.0,95598.3,1.13587
2640000,488.145,0.0,95597.5,1.13586
2648000,488.108,0.0,95598.0,1.13586
2656000,488.07,0.0,95598.4,1.13587
2660000,488.173,0.0,95597.2,1.13585
2668000,487.934,0.0,95599.9,1.13589
2672000,488.183,0.0,95597.1,1.13585
2680000,488.131,0.0,95597.7,1.13586
2684000,488.093,0.0,95598.1,1.13586
2688000,487.962,0.0,95599.7,1.13588
2692000,488.164,0.0,95597.3,1.13585
2696000,487.953,0.0,95599.7,1.13588
2700000,488.3,0.0,95595.7,1.13584
2704000,488.079,0.0,95598.2,1.13587
2708000,487.99,0.0,95599.3,1.13588
2712000,488.098,0.0,95598.1,1.13586
2720000,487.976,0.0,95599.5,1.13588
2724000,488.215,0.0,95596.7,1.13585
2728000,488.098,0.0,95598.0,1.13586
2736000,488.018,0.0,95599.0,1.13587
2740000,487.868,0.0,95600.7,1.13589
2744000,487.99,0.0,95599.3,1.13588
2748000,488.206,0.0,95596.8,1.13585
2756000,488.112,0.0,95597.9,1.13586
2760000,487.985,0.0,95599.3,1.13588
2764000,488.206,0.0,95596.8,1.13585
2772000,488.103,0.0,95598.0,1.13586
2776000,488.042,0.0,95598.7,1.13587
2780000,488.234,0.0,95596.5,1.13584
2788000,488.277,0.0,95596.0,1.13584
2792000,488.046,0.0,95598.7,1.13587
2796000,488.183,0.0,95597.1,1.13585
2804000,487.793,0.0,95601.6,1.13591
2808000,488.07,0.0,95598.4,1.13587
2812000,488.046,0.0,95598.7,1.13587
2816000,487.981,0.0,95599.4,1.13588
2824000,488.07,0.0,95598.4,1.13587
2828000,488.112,0.0,95597.9,1.13586
2836000,488.117,0.0,95597.8,1.13586
2840000,488.028,0.0,95598.9,1.13587
2844000,487.971,0.0,95599.5,1.13588
2848000,488.079,0.0,95598.3,1.13587
2856000,488.192,0.0,95597.0,1.13585
2860000,487.934,0.0,95599.9,1.13589
2864000,488.164,0.0,95597.3,1.13585
2872000,488.108,0.0,95597.9,1.13586
2876000,487.91,0.0,95600.2,1.13589
2880000,488.018,0.0,95599.0,1.13587
2888000,488.014,0.0,95599.1,1.13587
2892000,488.061,0.0,95598.5,1.13587
2904000,488.258,0.0,95596.2,1.13584
2908000,488.07,0.0,95598.4,1.13587
2912000,488.145,0.0,95597.5,1.13586
2920000,488.192,0.0,95597.0,1.13585
2924000,488.108,0.0,95598.0,1.13586
2932000,488.215,0.0,95596.7,1.13585
2940000,488.154,0.0,95597.4,1.13586
2944000,488.032,0.0,95598.8,1.13587
2948000,488.108,0.0,95598.0,1.13586
2952000,488.084,0.0,95598.2,1.13587
2956000,488.131,0.0,95597.7,1.13586
2960000,488.004,0.0,95599.2,1.13588
2964000,488.098,0.0,95598.1,1.13586
2968000,488.037,0.0,95598.8,1.13587
2972000,488.056,0.0,95598.5,1.13587
2976000,487.896,0.0,95600.4,1.13589
2984000,488.169,0.0,95597.2,1.13585
2988000,488.192,0.0,95597.0,1.13585
2992000,488.239,0.0,95596.5,1.13584
2996000,488.079,0.0,95598.3,1.13587
3000000,488.14,0.0,95597.6,1.13586
3004000,488.131,0.0,95597.7,1.13586
3008000,488.061,0.0,95598.5,1.13587
3012000,488.145,0.0,95597.5,1.13586
3020000,488.032,0.0,95598.8,1.13587
3024000,488.014,0.0,95599.0,1.13587
3032000,488.117,0.0,95597.9,1.13586
3036000,487.99,0.0,95599.3,1.13588
3040000,487.943,0.0,95599.8,1.13588
3044000,488.089,0.0,95598.2,1.13586
3052000,488.032,0.0,95598.9,1.13587
3056000,488.075,0.0,95598.3,1.13587
3060000,487.901,0.0,95600.3,1.13589
3068000,488.051,0.0,95598.6,1.13587
3076000,488.0,0.0,95599.2,1.13588
3080000,487.985,0.0,95599.4,1.13588
3084000,488.108,0.0,95597.9,1.13586
3088000,487.981,0.0,95599.4,1.13588
3092000,488.225,0.0,95596.6,1.13585
3100000,488.014,0.0,95599.0,1.13587
3104000,488.112,0.0,95597.9,1.13586
3108000,487.901,0.0,95600.3,1.13589
3116000,488.023,0.0,95598.9,1.13587
3120000,488.244,0.0,95596.4,1.13584
3128000,487.953,0.0,95599.7,1.13588
3132000,488.131,0.0,95597.7,1.13586
3136000,488.136,0.0,95597.7,1.13586
3140000,488.079,0.0,95598.3,1.13587
3144000,488.239,0.0,95596.5,1.13584
3148000,488.103,0.0,95598.0,1.13586
3152000,488.093,0.0,95598.1,1.13586
3156000,488.061,0.0,95598.5,1.13587
3164000,488.032,0.0,95598.8,1.13587
3168000,488.032,0.0,95598.8,1.13587
3176000,487.981,0.0,95599.4,1.13588
3180000,488.032,0.0,95598.8,1.13587
