timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
355048000,0,1,0,0,0,1,0,1,1
355052000,0,1,0,0,0,1,0,1,1
355056000,0,1,0,0,0,1,0,1,1
355060000,0,1,0,0,0,1,0,1,1
355064000,0,1,0,0,0,1,0,1,1
355068000,0,1,0,0,0,1,0,1,1
355068000,0,1,0,0,0,1,0,1,1
355072000,0,1,0,0,0,1,0,1,1
355076000,0,1,0,0,0,1,0,1,1
355080000,0,1,0,0,0,1,0,1,1
355084000,0,1,0,0,0,1,0,1,1
355088000,0,1,0,0,0,1,0,1,1
355092000,0,1,0,0,0,1,0,1,1
355096000,0,1,0,0,0,1,0,1,1
355096000,0,1,0,0,0,1,0,1,1
355100000,0,1,0,0,0,1,0,1,1
355104000,0,1,0,0,0,1,0,1,1
355108000,0,1,0,0,0,1,0,1,1
355112000,0,1,0,0,0,1,0,1,1
355116000,0,1,0,0,0,1,0,1,1
355120000,0,1,0,0,0,1,0,1,1
355124000,0,1,0,0,0,1,0,1,1
355124000,0,1,0,0,0,1,0,1,1
355128000,0,1,0,0,0,1,0,1,1
355132000,0,1,0,0,0,1,0,1,1
355136000,0,1,0,0,0,1,0,1,1
355140000,0,1,0,0,0,1,0,1,1
355144000,0,1,0,0,0,1,0,1,1
355148000,0,1,0,0,0,1,0,1,1
355152000,0,1,0,0,0,1,0,1,1
355152000,0,1,0,0,0,1,0,1,1
355156000,0,1,0,0,0,1,0,1,1
355160000,0,1,0,0,0,1,0,1,1
355164000,0,1,0,0,0,1,0,1,1
355168000,0,1,0,0,0,1,0,1,1
355172000,0,1,0,0,0,1,0,1,1
355176000,0,1,0,0,0,1,0,1,1
355180000,0,1,0,0,0,1,0,1,1
355180000,0,1,0,0,0,1,0,1,1
355184000,0,1,0,0,0,1,0,1,1
355188000,0,1,0,0,0,1,0,1,1
355192000,0,1,0,0,0,1,0,1,1
355196000,0,1,0,0,0,1,0,1,1
355200000,0,1,0,0,0,1,0,1,1
355204000,0,1,0,0,0,1,0,1,1
355208000,0,1,0,0,0,1,0,1,1
355212000,0,1,0,0,0,1,0,1,1
355216000,0,1,0,0,0,1,0,1,1
355220000,0,1,0,0,0,1,0,1,1
355224000,0,1,0,0,0,1,0,1,1
355228000,0,1,0,0,0,1,0,1,1
355232000,0,1,0,0,0,1,0,1,1
355236000,0,1,0,0,0,1,0,1,1
355236000,0,1,0,0,0,1,0,1,1
355240000,0,1,0,0,0,1,0,1,1
355244000,0,1,0,0,0,1,0,1,1
355248000,0,1,0,0,0,1,0,1,1
355252000,0,1,0,0,0,1,0,1,1
355256000,0,1,0,0,0,1,0,1,1
355260000,0,1,0,0,0,1,0,1,1
355264000,0,1,0,0,0,1,0,1,1
355264000,0,1,0,0,0,1,0,1,1
355268000,0,1,0,0,0,1,0,1,1
355272000,0,1,0,0,0,1,0,1,1
355276000,0,1,0,0,0,1,0,1,1
355280000,0,1,0,0,0,1,0,1,1
355284000,0,1,0,0,0,1,0,1,1
355288000,0,1,0,0,0,1,0,1,1
355292000,0,1,0,0,0,1,0,1,1
355292000,0,1,0,0,0,1,0,1,1
