timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
113908000,0.00168628,-0.00175698,-0.000543423,0.0,0.999999,0.000842903,-0.000878717,-0.000270971,0.0,0.0,-0.491595,1,0,0,0,0,0
114004000,0.00277896,-0.00129023,-0.0006111,0.0,0.999999,0.00138928,-0.000645541,-0.000304653,0.0,0.0,-0.490937,1,0,0,0,0,0
114096000,0.00134884,-0.00174284,-0.00089572,0.0,0.999999,0.000674029,-0.000871723,-0.000447272,0.0,0.0,-0.492233,1,0,0,0,0,0
114188000,0.000587805,-0.00176682,-0.00102936,0.0,0.999999,0.000293447,-0.000883562,-0.000514421,0.0,0.0,-0.491458,1,0,0,0,0,0
114284000,0.00208062,-0.00194065,-0.000863038,0.0,0.999999,0.00103989,-0.000970773,-0.000430509,0.0,0.0,-0.490669,1,0,0,0,0,0
114376000,0.00119613,-0.000551124,-0.000710623,0.0,1.0,0.000597967,-0.000275774,-0.000355146,0.0,0.0,-0.491522,1,0,0,0,0,0
114468000,0.00156812,-0.0012695,-0.000520326,0.0,0.999999,0.000783895,-0.000634953,-0.000259665,0.0,0.0,-0.491602,1,0,0,0,0,0
114564000,0.0020821,-0.00226738,-0.000639792,0.0,0.999999,0.00104069,-0.00113402,-0.000318715,0.0,0.0,-0.492432,1,0,0,0,0,0
114656000,0.00348092,-0.00183875,-0.00074796,0.0,0.999998,0.00174012,-0.000920022,-0.000372379,0.0,0.0,-0.491697,1,0,0,0,0,0
114748000,0.00267308,-0.00135464,-0.00125571,0.0,0.999999,0.00133611,-0.000678157,-0.000626948,0.0,0.0,-0.492586,1,0,0,0,0,0
114844000,0.00136464,-0.00220309,-0.00126234,0.0,0.999999,0.000681622,-0.00110198,-0.00063042,0.0,0.0,-0.491624,1,0,0,0,0,0
114936000,0.00269222,-0.000176837,-0.00112199,0.0,0.999999,0.00134606,-8.91736e-05,-0.000560875,0.0,0.0,-0.491591,1,0,0,0,0,0
115028000,0.00191694,-0.00141849,-0.000930614,0.0,0.999999,0.000958142,-0.000709692,-0.000464627,0.0,0.0,-0.49183,1,0,0,0,0,0
115124000,0.000349005,-0.000633504,-0.00101002,0.0,1.0,0.000174343,-0.00031684,-0.000504953,0.0,0.0,-0.490946,1,0,0,0,0,0
115216000,-0.00020375,-0.00134002,-0.00127105,0.0,1.0,-0.000102301,-0.000669944,-0.000635593,0.0,0.0,-0.491294,1,0,0,0,0,0
115308000,-0.000710095,-0.00114875,-0.00111747,0.0,1.0,-0.000355368,-0.000574174,-0.000558937,0.0,0.0,-0.490977,1,0,0,0,0,0
115404000,0.0012252,-0.00160792,-0.00115338,0.0,0.999999,0.000612137,-0.000804311,-0.000576198,0.0,0.0,-0.490573,1,0,0,0,0,0
115496000,0.000732212,-0.000888104,-0.00106961,0.0,1.0,0.000365869,-0.000444248,-0.000534641,0.0,0.0,-0.491277,1,0,0,0,0,0
115588000,-0.00110846,-0.00178484,-0.000871587,0.0,0.999999,-0.000554618,-0.000892179,-0.000436288,0.0,0.0,-0.491241,1,0,0,0,0,0
115684000,0.000823591,-0.00132451,-0.0010359,0.0,1.0,0.000411452,-0.000662466,-0.000517676,0.0,0.0,-0.491146,1,0,0,0,0,0
115776000,-0.000237521,8.74274e-05,-0.000893911,0.0,1.0,-0.000118741,4.37668e-05,-0.00044695,0.0,0.0,-0.491087,1,0,0,0,0,0
115868000,0.00128362,0.000252708,-0.00085674,0.0,1.0,0.000641865,0.000126079,-0.000428451,0.0,0.0,-0.491144,1,0,0,0,0,0
115964000,0.00136559,-0.000729794,-0.00108549,0.0,1.0,0.000682596,-0.000365267,-0.000542497,0.0,0.0,-0.490985,1,0,0,0,0,0
116056000,0.000457344,-0.00112568,-0.000838033,0.0,1.0,0.000228436,-0.000562938,-0.000418888,0.0,0.0,-0.490488,1,0,0,0,0,0
116148000,-0.00101762,-0.00039708,-0.00105453,0.0,1.0,-0.000508915,-0.000198272,-0.000527368,0.0,0.0,-0.490755,1,0,0,0,0,0
