timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
316004000,6,1493.99,1485.34,1489.15,1493.72,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316100000,6,1485.71,1493.81,1489.48,1488.22,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316196000,6,1488.58,1485.43,1492.52,1488.8,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316292000,6,1492.84,1488.02,1488.18,1488.77,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316388000,6,1489.03,1491.62,1489.22,1489.7,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316484000,6,1486.11,1490.12,1484.26,1493.78,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316580000,6,1496.41,1484.8,1493.69,1483.17,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316676000,6,1492.09,1488.6,1490.84,1482.76,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316776000,6,1489.39,1486.44,1488.55,1490.5,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316872000,6,1492.03,1486.14,1489.84,1486.61,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
316968000,6,1486.74,1489.67,1486.6,1493.87,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317064000,6,1490.03,1487.93,1490.35,1486.08,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317160000,6,1487.52,1487.65,1489.71,1484.01,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317256000,6,1485.36,1492.98,1482.71,1493.56,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317356000,6,1482.77,1490.85,1484.54,1490.44,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317452000,6,1488.09,1485.56,1493.25,1479.6,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317548000,6,1488.85,1486.58,1485.75,1488.8,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317644000,6,1493.26,1483.66,1494.83,1479.13,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317744000,6,1487.63,1482.42,1490.54,1489.86,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317844000,6,1484.19,1493.01,1483.25,1494.4,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
317940000,6,1487.35,1494.09,1484.78,1489.98,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318036000,6,1487.57,1487.69,1488.44,1490.19,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318136000,6,1485.04,1490.59,1488.96,1486.01,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318232000,6,1486.7,1488.85,1488.26,1486.57,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318328000,6,1486.42,1491.9,1483.48,1488.9,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318424000,6,1488.71,1490.3,1488.23,1484.78,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
318520000,6,1489.75,1487.64,1492.54,1485.69,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
