timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
62004000,62000000,4e+06,1.0,1.31574,26.8914,0.0,190,191,6,0,0,2,0,0,1,1,43
63000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
63004000,62000000,4e+06,1.0,1.31574,27.0558,0.0,190,191,6,0,0,2,0,0,1,1,43
63016000,63012000,4e+06,1.0,1.31574,27.0558,0.0,190,191,6,0,0,2,0,0,1,1,43
64000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
64012000,64008000,4e+06,1.0,1.31574,26.8874,0.0,190,191,6,0,0,2,0,0,1,1,43
65000000,0,4e+06,1.0,0.0,14.5857,0.0,0,0,0,0,0,0,0,0,0,1,37
65012000,64008000,4e+06,1.0,1.31574,26.8217,0.0,190,191,6,0,0,2,0,0,1,1,43
65020000,65016000,4e+06,1.0,1.31574,26.8217,0.0,190,191,6,0,0,2,0,0,1,1,43
66000000,0,4e+06,1.0,0.0,14.7052,0.0,0,0,0,0,0,0,0,0,0,1,37
66020000,65016000,4e+06,1.0,1.31574,26.7898,0.0,190,191,6,0,0,2,0,0,1,1,43
66032000,66028000,4e+06,1.0,1.31574,26.7898,0.0,190,191,6,0,0,2,0,0,1,1,43
67000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
67032000,67028000,4e+06,1.0,1.31574,26.8964,0.0,190,191,6,0,0,2,0,0,1,1,43
68000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
68032000,68028000,4e+06,1.0,1.31574,26.8725,0.0,190,191,6,0,0,2,0,0,1,1,43
69000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
69032000,69028000,4e+06,1.0,1.31574,26.9183,0.0,190,191,6,0,0,2,0,0,1,1,43
70000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
70032000,69028000,4e+06,1.0,1.31574,26.8127,0.0,190,191,6,0,0,2,0,0,1,1,43
70044000,70040000,4e+06,1.0,1.31574,26.8127,0.0,190,191,6,0,0,2,0,0,1,1,43
71000000,0,4e+06,1.0,0.0,14.7062,0.0,0,0,0,0,0,0,0,0,0,1,37
71044000,71040000,4e+06,1.0,1.31574,26.997,0.0,190,191,6,0,0,2,0,0,1,1,43
72000000,0,4e+06,1.0,0.0,14.6355,0.0,0,0,0,0,0,0,0,0,0,1,37
72044000,72040000,4e+06,1.0,1.31574,26.8815,0.0,190,191,6,0,0,2,0,0,1,1,43
73000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
73044000,72040000,4e+06,1.0,1.38048,26.7799,0.0,190,191,6,0,0,2,0,0,1,1,43
73056000,73052000,4e+06,1.0,1.38048,26.7799,0.0,190,191,6,0,0,2,0,0,1,1,43
74000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
74056000,74052000,4e+06,1.0,1.31574,26.8984,0.0,190,191,6,0,0,2,0,0,1,1,43
75000000,0,4e+06,1.0,0.0,14.5857,0.0,0,0,0,0,0,0,0,0,0,1,37
75056000,75052000,4e+06,1.0,1.31574,26.7719,0.0,190,191,6,0,0,2,0,0,1,1,43
76000000,0,4e+06,1.0,0.0,14.7052,0.0,0,0,0,0,0,0,0,0,0,1,37
76056000,76052000,4e+06,1.0,1.31574,26.749,0.0,190,191,6,0,0,2,0,0,1,1,43
77000000,0,4e+06,1.0,0.0,14.6145,0.0,0,0,0,0,0,0,0,0,0,1,37
77056000,77052000,4e+06,1.0,1.31574,26.9412,0.0,190,191,6,0,0,2,0,0,1,1,43
78000000,0,4e+06,1.0,0.0,14.6155,0.0,0,0,0,0,0,0,0,0,0,1,37
78056000,78052000,4e+06,1.0,1.31574,26.9372,0.0,190,191,6,0,0,2,0,0,1,1,43
79000000,0,4e+06,1.0,0.0,14.5498,0.0,0,0,0,0,0,0,0,0,0,1,37
79056000,78052000,4e+06,1.0,1.31574,27.0707,0.0,190,191,6,0,0,2,0,0,1,1,43
80000000,0,4e+06,1.0,0.0,14.6066,0.0,0,0,0,0,0,0,0,0,0,1,37
80056000,80052000,4e+06,1.0,1.31574,26.9223,0.0,190,191,6,0,0,2,0,0,1,1,43
81000000,0,4e+06,1.0,0.0,14.7062,0.0,0,0,0,0,0,0,0,0,0,1,37
81056000,81052000,4e+06,1.0,1.31574,26.7729,0.0,190,191,6,0,0,2,0,0,1,1,43
82000000,0,4e+06,1.0,0.0,14.6355,0.0,0,0,0,0,0,0,0,0,0,1,37
82056000,82052000,4e+06,1.0,1.31574,26.8904,0.0,190,191,6,0,0,2,0,0,1,1,43
83000000,0,4e+06,1.0,0.0,14.5946,0.0,0,0,0,0,0,0,0,0,0,1,37
83056000,82052000,4e+06,1.0,1.31574,26.8715,0.0,190,191,6,0,0,2,0,0,1,1,43
84000000,0,4e+06,1.0,0.0,14.5707,0.0,0,0,0,0,0,0,0,0,0,1,37
84056000,83056000,4e+06,1.0,1.38048,26.8974,0.0,190,191,6,0,0,2,0,0,1,1,43
84064000,84060000,4e+06,1.0,1.38048,26.8974,0.0,190,191,6,0,0,2,0,0,1,1,43
85000000,0,4e+06,1.0,0.0,14.5269,0.0,0,0,0,0,0,0,0,0,0,1,37
85064000,84060000,4e+06,1.0,1.31574,26.5966,0.0,190,191,6,0,0,2,0,0,1,1,43
85072000,85068000,4e+06,1.0,1.31574,26.5966,0.0,190,191,6,0,0,2,0,0,1,1,43
86000000,0,4e+06,1.0,0.0,14.6464,0.0,0,0,0,0,0,0,0,0,0,1,37
86072000,85068000,4e+06,1.0,1.31574,26.256,0.0,190,191,6,0,0,2,0,0,1,1,43
86080000,86076000,4e+06,1.0,1.31574,26.256,0.0,190,191,6,0,0,2,0,0,1,1,43
87000000,0,4e+06,1.0,0.0,14.497,0.0,0,0,0,0,0,0,0,0,0,1,37
87080000,87076000,4e+06,1.0,1.31574,26.2341,0.0,190,191,6,0,0,2,0,0,1,1,43
88000000,0,4e+06,1.0,0.0,14.6265,0.0,0,0,0,0,0,0,0,0,0,1,37
88080000,87076000,4e+06,1.0,1.31574,26.5428,0.0,190,191,6,0,0,2,0,0,1,1,43
89000000,0,4e+06,1.0,0.0,14.3625,0.0,0,0,0,0,0,0,0,0,0,1,37
89080000,88080000,4e+06,1.0,1.31574,26.2112,0.0,190,191,6,0,0,2,0,0,1,1,43
90000000,0,4e+06,1.0,0.0,14.6175,0.0,0,0,0,0,0,0,0,0,0,1,37
90080000,89080000,4e+06,1.0,1.31574,26.2062,0.0,190,191,6,0,0,2,0,0,1,1,43
91000000,0,4e+06,1.0,0.0,14.5189,0.0,0,0,0,0,0,0,0,0,0,1,37
91080000,90080000,4e+06,1.0,1.31574,26.1086,0.0,190,191,6,0,0,2,0,0,1,1,43
91092000,91088000,4e+06,1.0,1.31574,26.1086,0.0,190,191,6,0,0,2,0,0,1,1,43
92000000,0,4e+06,1.0,0.0,14.6863,0.0,0,0,0,0,0,0,0,0,0,1,37
92092000,92088000,4e+06,1.0,1.38048,26.256,0.0,190,191,6,0,0,2,0,0,1,1,43
93000000,0,4e+06,1.0,0.0,14.4074,0.0,0,0,0,0,0,0,0,0,0,1,37
93092000,93088000,4e+06,1.0,1.31574,26.1713,0.0,190,191,6,0,0,2,0,0,1,1,43
94000000,0,4e+06,1.0,0.0,14.5817,0.0,0,0,0,0,0,0,0,0,0,1,37
94092000,93088000,4e+06,1.0,1.31574,26.3446,0.0,190,191,6,0,0,2,0,0,1,1,43
95000000,0,4e+06,1.0,0.0,14.3984,0.0,0,0,0,0,0,0,0,0,0,1,37
95092000,95088000,4e+06,1.0,1.31574,26.1444,0.0,190,191,6,0,0,2,0,0,1,1,43
96000000,0,4e+06,1.0,0.0,14.7161,0.0,0,0,0,0,0,0,0,0,0,1,37
96092000,95088000,4e+06,1.0,1.31574,26.4193,0.0,190,191,6,0,0,2,0,0,1,1,43
96100000,96096000,4e+06,1.0,1.31574,26.4193,0.0,190,191,6,0,0,2,0,0,1,1,43
97000000,0,4e+06,1.0,0.0,14.4273,0.0,0,0,0,0,0,0,0,0,0,1,37
97100000,96096000,4e+06,1.0,1.31574,26.1932,0.0,190,191,6,0,0,2,0,0,1,1,43
97112000,97108000,4e+06,1.0,1.31574,26.1932,0.0,190,191,6,0,0,2,0,0,1,1,43
98000000,0,4e+06,1.0,0.0,14.6265,0.0,0,0,0,0,0,0,0,0,0,1,37
98112000,98108000,4e+06,1.0,1.31574,26.25,0.0,190,191,6,0,0,2,0,0,1,1,43
99000000,0,4e+06,1.0,0.0,14.3625,0.0,0,0,0,0,0,0,0,0,0,1,37
99112000,99108000,4e+06,1.0,1.31574,26.1823,0.0,190,191,6,0,0,2,0,0,1,1,43
100000000,0,4e+06,1.0,0.0,14.6175,0.0,0,0,0,0,0,0,0,0,0,1,37
100112000,100108000,4e+06,1.0,1.31574,26.2201,0.0,190,191,6,0,0,2,0,0,1,1,43
101000000,0,4e+06,1.0,0.0,14.5189,0.0,0,0,0,0,0,0,0,0,0,1,37
101112000,101108000,4e+06,1.0,1.31574,26.0976,0.0,190,191,6,0,0,2,0,0,1,1,43
102000000,0,4e+06,1.0,0.0,14.6464,0.0,0,0,0,0,0,0,0,0,0,1,37
102112000,101108000,4e+06,1.0,1.31574,26.5159,0.0,190,191,6,0,0,2,0,0,1,1,43
103000000,0,4e+06,1.0,0.0,14.4074,0.0,0,0,0,0,0,0,0,0,0,1,37
103112000,102112000,4e+06,1.0,1.38048,26.2839,0.0,190,191,6,0,0,2,0,0,1,1,43
104000000,0,4e+06,1.0,0.0,14.5817,0.0,0,0,0,0,0,0,0,0,0,1,37
104112000,103112000,4e+06,1.0,1.31574,26.5488,0.0,190,191,6,0,0,2,0,0,1,1,43
104124000,104120000,4e+06,1.0,1.31574,26.5488,0.0,190,191,6,0,0,2,0,0,1,1,43
105000000,0,4e+06,1.0,0.0,14.3984,0.0,0,0,0,0,0,0,0,0,0,1,37
105124000,105120000,4e+06,1.0,1.31574,26.3028,0.0,190,191,6,0,0,2,0,0,1,1,43
106000000,0,4e+06,1.0,0.0,14.7161,0.0,0,0,0,0,0,0,0,0,0,1,37
106124000,105120000,4e+06,1.0,1.31574,26.2281,0.0,190,191,6,0,0,2,0,0,1,1,43
107000000,0,4e+06,1.0,0.0,14.4273,0.0,0,0,0,0,0,0,0,0,0,1,37
