timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
37476000,47.3977421798,8.54559436139,534.574,44.7727,-0.0,-0.0126,-0.0195396,-2.9938,0.00855448,2.29806,2.40025,0.0,2,0,0,0
37668000,47.3977422106,8.54559430738,535.149,45.3279,-0.0,-0.0119502,-0.0174142,-2.99302,0.00858252,2.29878,2.40044,0.0,2,0,0,0
37860000,47.3977422398,8.54559425352,535.724,45.8825,-0.0,-0.014444,-0.0155721,-2.98872,0.00850239,2.29871,2.4004,0.0,2,0,0,0
38052000,47.3977422696,8.54559420485,536.297,46.4359,-0.0,-0.016989,-0.0133206,-2.97806,0.00818008,2.29863,2.40035,0.0,2,0,0,0
38244000,47.3977422822,8.54559417795,536.869,46.9874,-0.0,-0.022732,-0.0099338,-2.97435,0.00817833,2.29856,2.40044,0.0,2,0,0,0
38436000,47.3977422961,8.54559417441,537.441,47.5391,-0.0,-0.0241932,-0.00438558,-2.96617,0.0076702,2.29849,2.4004,0.0,2,0,0,0
38628000,47.3977423132,8.5455941861,538.01,48.0889,-0.0,-0.0234657,-0.000970979,-2.96214,0.00782227,2.29842,2.40035,0.0,2,0,0,0
38820000,47.3977423334,8.5455941775,538.579,48.6376,-0.0,-0.0263526,-0.00391411,-2.95742,0.00798719,2.29835,2.40031,0.0,2,0,0,0
39012000,47.3977423482,8.54559416056,539.148,49.1967,-0.0,-0.0273218,-0.00433265,-2.9534,0.00809864,2.29829,2.4004,0.0,2,0,0,0
39204000,47.3977423595,8.54559415288,539.715,49.7432,-0.0,-0.0296933,-0.00555437,-2.94768,0.00847104,2.29822,2.40036,0.0,2,0,0,0
39396000,47.3977423611,8.54559416295,540.279,50.287,-0.0,-0.0319934,-0.00562671,-2.94778,0.00787817,2.29815,2.40032,0.0,2,0,0,0
39588000,47.3977423553,8.54559417893,540.843,50.831,-0.0,-0.0345003,-0.00216312,-2.94962,0.00808959,2.29809,2.40028,0.0,2,0,0,0
39780000,47.3977423533,8.54559420464,541.408,51.3762,-0.0,-0.0340111,-0.000451327,-2.94992,0.00807892,2.29802,2.40036,0.0,2,0,0,0
