timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
166340000,166340000,0.00430232,0.00375112,-0.000973945,0.491465,0.0,0.0,0.0,1.0
166440000,166440000,-0.0024158,0.00677714,0.000376887,0.492987,0.0,0.0,0.0,1.0
166536000,166536000,0.00118076,0.00321178,0.000883833,0.491596,0.0,0.0,0.0,1.0
166632000,166632000,-0.000420843,-0.00523021,8.32616e-05,0.491629,0.0,0.0,0.0,1.0
166732000,166732000,-0.000442329,0.00170064,-0.00100025,0.491901,0.0,0.0,0.0,1.0
166832000,166832000,-0.00507074,-0.000306295,0.000501427,0.491166,0.0,0.0,0.0,1.0
166932000,166932000,0.000138728,0.00986772,0.000519157,0.491711,0.0,0.0,0.0,1.0
167032000,167032000,0.00143515,0.00500605,0.000208965,0.491274,0.0,0.0,0.0,1.0
167128000,167128000,0.00393267,0.00358607,-0.00180187,0.491428,0.0,0.0,0.0,1.0
167224000,167224000,0.0035098,-0.00731332,0.00142894,0.491539,0.0,0.0,0.0,1.0
167320000,167320000,-0.000119447,0.000629028,0.00023273,0.490128,0.0,0.0,0.0,1.0
167416000,167416000,-0.00372539,-0.00119091,-0.000426525,0.49061,0.0,0.0,0.0,1.0
167516000,167516000,0.00201329,0.00332014,-0.000692684,0.491013,0.0,0.0,0.0,1.0
167616000,167616000,0.0044579,0.00345187,-0.00131317,0.490947,0.0,0.0,0.0,1.0
167712000,167712000,0.00246001,-0.00150891,-0.000375421,0.490905,0.0,0.0,0.0,1.0
167812000,167812000,0.0010724,0.00423151,-0.000449613,0.490622,0.0,0.0,0.0,1.0
167908000,167908000,-0.00294196,-0.00355851,-0.000620781,0.49081,0.0,0.0,0.0,1.0
168004000,168004000,0.00584986,0.00518723,-0.00193492,0.491126,0.0,0.0,0.0,1.0
168104000,168104000,0.00169193,0.000552128,-0.0011862,0.490882,0.0,0.0,0.0,1.0
168204000,168204000,0.0015441,-0.00409188,-0.000563099,0.491108,0.0,0.0,0.0,1.0
168304000,168304000,-0.00359007,0.00231467,0.000224143,0.490869,0.0,0.0,0.0,1.0
168404000,168404000,-0.00326232,0.00875212,-0.00023167,0.490631,0.0,0.0,0.0,1.0
168504000,168504000,-0.001711,-3.11548e-05,-0.000298174,0.490185,0.0,0.0,0.0,1.0
168600000,168600000,0.00156446,-0.00159606,0.000387887,0.491385,0.0,0.0,0.0,1.0
168696000,168696000,-0.000565043,0.00130654,0.000665864,0.492406,0.0,0.0,0.0,1.0
168792000,168792000,-0.00627358,0.0016327,0.00140303,0.492056,0.0,0.0,0.0,1.0
168888000,168888000,-0.00518478,0.00705428,0.000346972,0.491992,0.0,0.0,0.0,1.0
168988000,168988000,0.00102843,-0.00449213,0.00134318,0.491216,0.0,0.0,0.0,1.0
169084000,169084000,0.00233649,0.00267909,-0.00107719,0.489909,0.0,0.0,0.0,1.0
169184000,169184000,-0.00496896,0.00032595,0.000625643,0.491089,0.0,0.0,0.0,1.0
169280000,169280000,-0.000565173,0.00772817,0.00259107,0.120051,0.0,0.0,0.0,1.0
169380000,169380000,0.0014989,-0.00271458,0.000431192,0.453842,0.0,0.0,0.0,1.0
169480000,169480000,0.000547861,-0.00363967,0.00139673,0.49196,0.0,0.0,0.0,1.0
169580000,169580000,-0.00266276,-0.00112468,-0.00290064,0.488623,0.0,0.0,0.0,1.0
169680000,169680000,-0.00135727,0.00829926,-0.000169127,0.488324,0.0,0.0,0.0,1.0
169776000,169776000,-0.00150639,0.000806748,-0.000483975,0.488501,0.0,0.0,0.0,1.0
169872000,169872000,0.000666203,-0.00722152,0.000493158,0.488546,0.0,0.0,0.0,1.0
169972000,169972000,-0.00351816,0.00712598,-0.00232763,0.48913,0.0,0.0,0.0,1.0
170068000,170068000,0.000815485,-0.0131146,-0.000409661,0.49001,0.0,0.0,0.0,1.0
170168000,170168000,0.00109692,0.00798191,-0.0012958,0.490364,0.0,0.0,0.0,1.0
170268000,170268000,0.0038308,-0.00445266,0.00144139,0.4906,0.0,0.0,0.0,1.0
170368000,170368000,-0.00205142,-0.00673664,-0.00179938,0.490683,0.0,0.0,0.0,1.0
170468000,170468000,-0.000320891,-0.00557944,0.003384,0.489746,0.0,0.0,0.0,1.0
170568000,170568000,0.00144191,0.0103883,-9.25472e-05,0.490902,0.0,0.0,0.0,1.0
170664000,170664000,-0.000113,0.0023525,0.00216759,0.490881,0.0,0.0,0.0,1.0
170760000,170760000,-2.83453e-05,-0.00102871,-0.000538599,0.490602,0.0,0.0,0.0,1.0
170856000,170856000,0.00222717,-0.000259001,-0.00127258,0.490331,0.0,0.0,0.0,1.0
170956000,170956000,-0.00186476,-0.00122341,-0.00133326,0.490216,0.0,0.0,0.0,1.0
171056000,171056000,-0.00514649,0.00182526,-0.000979009,0.490013,0.0,0.0,0.0,1.0
171152000,171152000,-0.00140826,0.00042269,-0.000419678,0.491344,0.0,0.0,0.0,1.0
