timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
369876000,-0.00127622,-0.00513195,0.00274813,0.99995,-0.00455498,0.00117649,-0.0088297,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369904000,0.0147228,0.014366,0.00574852,0.999951,-0.00445819,0.00114458,-0.00873625,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369932000,-0.00777718,-0.00613406,-0.00575146,0.999951,-0.00439809,0.00113179,-0.00876482,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369960000,0.0167228,0.0133659,-0.00825128,0.999951,-0.00432812,0.00118633,-0.00878485,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
369988000,-0.00927771,-0.00613557,0.00374881,0.999951,-0.00439854,0.00130198,-0.00875905,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370016000,0.000722342,0.0108644,0.00974925,0.999951,-0.00441855,0.00134302,-0.00874078,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370044000,-0.00627773,0.00786441,-0.0107506,0.999951,-0.00446678,0.00144775,-0.00870577,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370076000,0.0112223,0.00736445,-0.00325042,0.999951,-0.00451879,0.00151997,-0.00868175,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370104000,-0.0132785,0.00536309,0.00125014,0.999951,-0.00457816,0.0016325,-0.00866345,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370132000,-0.00177847,-0.00263692,0.0117504,0.999951,-0.00453163,0.00170267,-0.00861104,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370160000,0.00672151,-0.00213692,-0.00174956,0.999952,-0.00454587,0.0016628,-0.00855505,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370192000,0.00172101,0.0133612,-0.00674913,0.999951,-0.00451621,0.00184138,-0.00864606,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370220000,-0.00377892,0.000861093,-0.015749,0.999951,-0.00457524,0.00171496,-0.00864244,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370248000,0.015721,-0.00513883,-0.00974878,0.99995,-0.00462718,0.0018139,-0.00863385,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370276000,0.00922106,0.00636114,-0.00774857,0.999951,-0.00458917,0.00166038,-0.00864115,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370304000,0.0127211,-0.00114052,-0.00924846,0.99995,-0.00449264,0.00179082,-0.00877099,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370332000,-0.0137789,-0.0121405,-0.00374824,0.999951,-0.00443143,0.00171772,-0.00872601,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370360000,-0.00227889,0.00685951,-0.00174813,0.99995,-0.00440899,0.0016768,-0.00879715,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370392000,0.00672115,-0.00964198,0.00125196,0.999951,-0.00431722,0.0015932,-0.00881559,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
370424000,0.000721128,0.00735802,0.00125182,0.999951,-0.00429645,0.00158455,-0.00875668,0.999998,3.70186e-06,4.70676e-06,-0.0020272,3
